Average Size,Climate,Soil Type,Experience,Labour Requirement,Irrigation System,Pest and Disease Resistance,Crop Yield Potential,Recommended Plant
10 to 100 acres,Tropical,Sandy Soil,New for Farming,High,Fully Irrigated,Moderate,High,Ginseng
10 to 100 acres,Tropical,Sandy Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Yerba Mate
10 to 100 acres,Tropical,Sandy Soil,New for Farming,High,Fully Irrigated,Low,High,Paddy
10 to 100 acres,Tropical,Sandy Soil,New for Farming,High,Fully Irrigated,Low,Medium,Wheat
10 to 100 acres,Tropical,Sandy Soil,Successful,Medium,Rain-fed,Moderate,High,Potato
10 to 100 acres,Tropical,Sandy Soil,Successful,Medium,Rain-fed,Moderate,Medium,Tomato
10 to 100 acres,Tropical,Sandy Soil,Successful,Medium,Rain-fed,Low,High,Corn
10 to 100 acres,Tropical,Sandy Soil,Successful,Medium,Rain-fed,Low,Medium,Barley
10 to 100 acres,Tropical,Sandy Soil,Successful,Medium,Partial Irrigation,Moderate,High,Carrot
10 to 100 acres,Tropical,Sandy Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Onion
10 to 100 acres,Tropical,Sandy Soil,Successful,Medium,Partial Irrigation,Low,High,Sugarcane
10 to 100 acres,Tropical,Sandy Soil,Successful,Medium,Partial Irrigation,Low,Medium,Soybean
10 to 100 acres,Tropical,Sandy Soil,Successful,Medium,Fully Irrigated,Moderate,High,Cabbage
10 to 100 acres,Tropical,Sandy Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Cauliflower
10 to 100 acres,Tropical,Sandy Soil,Successful,Medium,Fully Irrigated,Low,High,Spinach
10 to 100 acres,Tropical,Sandy Soil,Successful,Medium,Fully Irrigated,Low,Medium,Lettuce
10 to 100 acres,Tropical,Sandy Soil,Successful,High,Rain-fed,Moderate,High,Peas
10 to 100 acres,Tropical,Sandy Soil,Successful,High,Rain-fed,Moderate,Medium,Chickpeas
10 to 100 acres,Tropical,Sandy Soil,Successful,High,Rain-fed,Low,High,Lentils
10 to 100 acres,Tropical,Sandy Soil,Successful,High,Rain-fed,Low,Medium,Mustard
10 to 100 acres,Tropical,Sandy Soil,Successful,High,Partial Irrigation,Moderate,High,Sunflower
10 to 100 acres,Tropical,Sandy Soil,Successful,High,Partial Irrigation,Moderate,Medium,Groundnut
10 to 100 acres,Tropical,Sandy Soil,Successful,High,Partial Irrigation,Low,High,Cotton
10 to 100 acres,Tropical,Sandy Soil,Successful,High,Partial Irrigation,Low,Medium,Millet
10 to 100 acres,Tropical,Sandy Soil,Successful,High,Fully Irrigated,Moderate,High,Sorghum
10 to 100 acres,Tropical,Sandy Soil,Successful,High,Fully Irrigated,Moderate,Medium,Rice
10 to 100 acres,Tropical,Sandy Soil,Successful,High,Fully Irrigated,Low,High,Oats
10 to 100 acres,Tropical,Sandy Soil,Successful,High,Fully Irrigated,Low,Medium,Rye
10 to 100 acres,Temperate,Loamy Soil,New for Farming,Medium,Rain-fed,Moderate,High,Banana
10 to 100 acres,Temperate,Loamy Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Mango
10 to 100 acres,Temperate,Loamy Soil,New for Farming,Medium,Rain-fed,Low,High,Apple
10 to 100 acres,Temperate,Loamy Soil,New for Farming,Medium,Rain-fed,Low,Medium,Grapes
10 to 100 acres,Temperate,Loamy Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Orange
10 to 100 acres,Temperate,Loamy Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Papaya
10 to 100 acres,Temperate,Loamy Soil,New for Farming,Medium,Partial Irrigation,Low,High,Pineapple
10 to 100 acres,Temperate,Loamy Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Strawberry
10 to 100 acres,Temperate,Loamy Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Blueberry
10 to 100 acres,Temperate,Loamy Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Raspberry
10 to 100 acres,Temperate,Loamy Soil,New for Farming,Medium,Fully Irrigated,Low,High,Watermelon
10 to 100 acres,Temperate,Loamy Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Cucumber
10 to 100 acres,Temperate,Loamy Soil,New for Farming,High,Rain-fed,Moderate,High,Pumpkin
10 to 100 acres,Temperate,Loamy Soil,New for Farming,High,Rain-fed,Moderate,Medium,Zucchini
10 to 100 acres,Temperate,Loamy Soil,New for Farming,High,Rain-fed,Low,High,Bell Pepper
10 to 100 acres,Temperate,Loamy Soil,New for Farming,High,Rain-fed,Low,Medium,Chili Pepper
10 to 100 acres,Temperate,Loamy Soil,New for Farming,High,Partial Irrigation,Moderate,High,Brinjal (Eggplant)
10 to 100 acres,Temperate,Loamy Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Radish
10 to 100 acres,Temperate,Loamy Soil,New for Farming,High,Partial Irrigation,Low,High,Beetroot
10 to 100 acres,Temperate,Loamy Soil,New for Farming,High,Partial Irrigation,Low,Medium,Garlic
10 to 100 acres,Temperate,Loamy Soil,New for Farming,High,Fully Irrigated,Moderate,High,Ginger
10 to 100 acres,Temperate,Loamy Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Turmeric
10 to 100 acres,Temperate,Loamy Soil,New for Farming,High,Fully Irrigated,Low,High,Basil
10 to 100 acres,Temperate,Loamy Soil,New for Farming,High,Fully Irrigated,Low,Medium,Coriander
10 to 100 acres,Temperate,Loamy Soil,Successful,Medium,Rain-fed,Moderate,High,Parsley
10 to 100 acres,Temperate,Loamy Soil,Successful,Medium,Rain-fed,Moderate,Medium,Thyme
10 to 100 acres,Temperate,Loamy Soil,Successful,Medium,Rain-fed,Low,High,Rosemary
10 to 100 acres,Temperate,Loamy Soil,Successful,Medium,Rain-fed,Low,Medium,Lavender
10 to 100 acres,Temperate,Loamy Soil,Successful,Medium,Partial Irrigation,Moderate,High,Tea
10 to 100 acres,Temperate,Loamy Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Coffee
10 to 100 acres,Temperate,Loamy Soil,Successful,Medium,Partial Irrigation,Low,High,Cocoa
10 to 100 acres,Temperate,Loamy Soil,Successful,Medium,Partial Irrigation,Low,Medium,Cashew
10 to 100 acres,Temperate,Loamy Soil,Successful,Medium,Fully Irrigated,Moderate,High,Almond
10 to 100 acres,Temperate,Loamy Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Pistachio
10 to 100 acres,Temperate,Loamy Soil,Successful,Medium,Fully Irrigated,Low,High,Walnut
10 to 100 acres,Temperate,Loamy Soil,Successful,Medium,Fully Irrigated,Low,Medium,Coconut
10 to 100 acres,Temperate,Loamy Soil,Successful,High,Rain-fed,Moderate,High,Sesame
10 to 100 acres,Temperate,Loamy Soil,Successful,High,Rain-fed,Moderate,Medium,Flaxseed
10 to 100 acres,Temperate,Loamy Soil,Successful,High,Rain-fed,Low,High,Jute
10 to 100 acres,Temperate,Loamy Soil,Successful,High,Rain-fed,Low,Medium,Rubber
10 to 100 acres,Temperate,Loamy Soil,Successful,High,Partial Irrigation,Moderate,High,Vanilla
10 to 100 acres,Temperate,Loamy Soil,Successful,High,Partial Irrigation,Moderate,Medium,Cardamom
10 to 100 acres,Temperate,Loamy Soil,Successful,High,Partial Irrigation,Low,High,Clove
10 to 100 acres,Temperate,Loamy Soil,Successful,High,Partial Irrigation,Low,Medium,Nutmeg
10 to 100 acres,Temperate,Loamy Soil,Successful,High,Fully Irrigated,Moderate,High,Pepper
10 to 100 acres,Temperate,Loamy Soil,Successful,High,Fully Irrigated,Moderate,Medium,Fenugreek
10 to 100 acres,Temperate,Loamy Soil,Successful,High,Fully Irrigated,Low,High,Fennel
10 to 100 acres,Temperate,Loamy Soil,Successful,High,Fully Irrigated,Low,Medium,Celery
10 to 100 acres,Temperate,Clayey Soil,New for Farming,Medium,Rain-fed,Moderate,High,Asparagus
10 to 100 acres,Temperate,Clayey Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Okra
10 to 100 acres,Temperate,Clayey Soil,New for Farming,Medium,Rain-fed,Low,High,Bitter Gourd
10 to 100 acres,Temperate,Clayey Soil,New for Farming,Medium,Rain-fed,Low,Medium,Sweet Potato
10 to 100 acres,Temperate,Clayey Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Yam
10 to 100 acres,Temperate,Clayey Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Taro
10 to 100 acres,Temperate,Clayey Soil,New for Farming,Medium,Partial Irrigation,Low,High,Pear
10 to 100 acres,Temperate,Clayey Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Guava
10 to 100 acres,Temperate,Clayey Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Lychee
10 to 100 acres,Temperate,Clayey Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Pomegranate
10 to 100 acres,Temperate,Clayey Soil,New for Farming,Medium,Fully Irrigated,Low,High,Fig
10 to 100 acres,Temperate,Clayey Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Apricot
10 to 100 acres,Temperate,Clayey Soil,New for Farming,High,Rain-fed,Moderate,High,Peach
10 to 100 acres,Temperate,Clayey Soil,New for Farming,High,Rain-fed,Moderate,Medium,Cherry
10 to 100 acres,Temperate,Clayey Soil,New for Farming,High,Rain-fed,Low,High,Plum
10 to 100 acres,Temperate,Clayey Soil,New for Farming,High,Rain-fed,Low,Medium,Kiwi
10 to 100 acres,Temperate,Clayey Soil,New for Farming,High,Partial Irrigation,Moderate,High,Dragon Fruit
10 to 100 acres,Temperate,Clayey Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Jackfruit
10 to 100 acres,Temperate,Clayey Soil,New for Farming,High,Partial Irrigation,Low,High,Persimmon
10 to 100 acres,Temperate,Clayey Soil,New for Farming,High,Partial Irrigation,Low,Medium,Date Palm
10 to 100 acres,Temperate,Clayey Soil,New for Farming,High,Fully Irrigated,Moderate,High,Mulberry
10 to 100 acres,Temperate,Clayey Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Gooseberry
10 to 100 acres,Temperate,Clayey Soil,New for Farming,High,Fully Irrigated,Low,High,Elderberry
10 to 100 acres,Temperate,Clayey Soil,New for Farming,High,Fully Irrigated,Low,Medium,Blackberry
10 to 100 acres,Temperate,Clayey Soil,Successful,Medium,Rain-fed,Moderate,High,Hazelnut
10 to 100 acres,Temperate,Clayey Soil,Successful,Medium,Rain-fed,Moderate,Medium,Macadamia
10 to 100 acres,Temperate,Clayey Soil,Successful,Medium,Rain-fed,Low,High,Saffron
10 to 100 acres,Temperate,Clayey Soil,Successful,Medium,Rain-fed,Low,Medium,Cumin
10 to 100 acres,Temperate,Clayey Soil,Successful,Medium,Partial Irrigation,Moderate,High,Anise
10 to 100 acres,Temperate,Clayey Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Caraway
10 to 100 acres,Temperate,Clayey Soil,Successful,Medium,Partial Irrigation,Low,High,Dill
10 to 100 acres,Temperate,Clayey Soil,Successful,Medium,Partial Irrigation,Low,Medium,Hemp
10 to 100 acres,Temperate,Clayey Soil,Successful,Medium,Fully Irrigated,Moderate,High,Aloe Vera
10 to 100 acres,Temperate,Clayey Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Eucalyptus
10 to 100 acres,Temperate,Clayey Soil,Successful,Medium,Fully Irrigated,Low,High,Ginseng
10 to 100 acres,Temperate,Clayey Soil,Successful,Medium,Fully Irrigated,Low,Medium,Yerba Mate
10 to 100 acres,Temperate,Clayey Soil,Successful,High,Rain-fed,Moderate,High,Paddy
10 to 100 acres,Temperate,Clayey Soil,Successful,High,Rain-fed,Moderate,Medium,Wheat
10 to 100 acres,Temperate,Clayey Soil,Successful,High,Rain-fed,Low,High,Potato
10 to 100 acres,Temperate,Clayey Soil,Successful,High,Rain-fed,Low,Medium,Tomato
10 to 100 acres,Temperate,Clayey Soil,Successful,High,Partial Irrigation,Moderate,High,Corn
10 to 100 acres,Temperate,Clayey Soil,Successful,High,Partial Irrigation,Moderate,Medium,Barley
10 to 100 acres,Temperate,Clayey Soil,Successful,High,Partial Irrigation,Low,High,Carrot
10 to 100 acres,Temperate,Clayey Soil,Successful,High,Partial Irrigation,Low,Medium,Onion
10 to 100 acres,Temperate,Clayey Soil,Successful,High,Fully Irrigated,Moderate,High,Sugarcane
10 to 100 acres,Temperate,Clayey Soil,Successful,High,Fully Irrigated,Moderate,Medium,Soybean
10 to 100 acres,Temperate,Clayey Soil,Successful,High,Fully Irrigated,Low,High,Cabbage
10 to 100 acres,Temperate,Clayey Soil,Successful,High,Fully Irrigated,Low,Medium,Cauliflower
10 to 100 acres,Temperate,Sandy Soil,New for Farming,Medium,Rain-fed,Moderate,High,Spinach
10 to 100 acres,Temperate,Sandy Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Lettuce
10 to 100 acres,Temperate,Sandy Soil,New for Farming,Medium,Rain-fed,Low,High,Peas
10 to 100 acres,Temperate,Sandy Soil,New for Farming,Medium,Rain-fed,Low,Medium,Chickpeas
10 to 100 acres,Temperate,Sandy Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Lentils
10 to 100 acres,Temperate,Sandy Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Mustard
10 to 100 acres,Temperate,Sandy Soil,New for Farming,Medium,Partial Irrigation,Low,High,Sunflower
10 to 100 acres,Temperate,Sandy Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Groundnut
10 to 100 acres,Temperate,Sandy Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Cotton
10 to 100 acres,Temperate,Sandy Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Millet
10 to 100 acres,Temperate,Sandy Soil,New for Farming,Medium,Fully Irrigated,Low,High,Sorghum
10 to 100 acres,Temperate,Sandy Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Rice
10 to 100 acres,Temperate,Sandy Soil,New for Farming,High,Rain-fed,Moderate,High,Oats
10 to 100 acres,Temperate,Sandy Soil,New for Farming,High,Rain-fed,Moderate,Medium,Rye
10 to 100 acres,Temperate,Sandy Soil,New for Farming,High,Rain-fed,Low,High,Banana
10 to 100 acres,Temperate,Sandy Soil,New for Farming,High,Rain-fed,Low,Medium,Mango
10 to 100 acres,Temperate,Sandy Soil,New for Farming,High,Partial Irrigation,Moderate,High,Apple
10 to 100 acres,Temperate,Sandy Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Grapes
10 to 100 acres,Temperate,Sandy Soil,New for Farming,High,Partial Irrigation,Low,High,Orange
10 to 100 acres,Temperate,Sandy Soil,New for Farming,High,Partial Irrigation,Low,Medium,Papaya
10 to 100 acres,Temperate,Sandy Soil,New for Farming,High,Fully Irrigated,Moderate,High,Pineapple
10 to 100 acres,Temperate,Sandy Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Strawberry
10 to 100 acres,Temperate,Sandy Soil,New for Farming,High,Fully Irrigated,Low,High,Blueberry
10 to 100 acres,Temperate,Sandy Soil,New for Farming,High,Fully Irrigated,Low,Medium,Raspberry
10 to 100 acres,Temperate,Sandy Soil,Successful,Medium,Rain-fed,Moderate,High,Watermelon
10 to 100 acres,Temperate,Sandy Soil,Successful,Medium,Rain-fed,Moderate,Medium,Cucumber
10 to 100 acres,Temperate,Sandy Soil,Successful,Medium,Rain-fed,Low,High,Pumpkin
10 to 100 acres,Temperate,Sandy Soil,Successful,Medium,Rain-fed,Low,Medium,Zucchini
10 to 100 acres,Temperate,Sandy Soil,Successful,Medium,Partial Irrigation,Moderate,High,Bell Pepper
10 to 100 acres,Temperate,Sandy Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Chili Pepper
10 to 100 acres,Temperate,Sandy Soil,Successful,Medium,Partial Irrigation,Low,High,Brinjal (Eggplant)
10 to 100 acres,Temperate,Sandy Soil,Successful,Medium,Partial Irrigation,Low,Medium,Radish
10 to 100 acres,Temperate,Sandy Soil,Successful,Medium,Fully Irrigated,Moderate,High,Beetroot
10 to 100 acres,Temperate,Sandy Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Garlic
10 to 100 acres,Temperate,Sandy Soil,Successful,Medium,Fully Irrigated,Low,High,Ginger
10 to 100 acres,Temperate,Sandy Soil,Successful,Medium,Fully Irrigated,Low,Medium,Turmeric
10 to 100 acres,Temperate,Sandy Soil,Successful,High,Rain-fed,Moderate,High,Basil
10 to 100 acres,Temperate,Sandy Soil,Successful,High,Rain-fed,Moderate,Medium,Coriander
10 to 100 acres,Temperate,Sandy Soil,Successful,High,Rain-fed,Low,High,Parsley
10 to 100 acres,Temperate,Sandy Soil,Successful,High,Rain-fed,Low,Medium,Thyme
10 to 100 acres,Temperate,Sandy Soil,Successful,High,Partial Irrigation,Moderate,High,Rosemary
10 to 100 acres,Temperate,Sandy Soil,Successful,High,Partial Irrigation,Moderate,Medium,Lavender
10 to 100 acres,Temperate,Sandy Soil,Successful,High,Partial Irrigation,Low,High,Tea
10 to 100 acres,Temperate,Sandy Soil,Successful,High,Partial Irrigation,Low,Medium,Coffee
10 to 100 acres,Temperate,Sandy Soil,Successful,High,Fully Irrigated,Moderate,High,Cocoa
10 to 100 acres,Temperate,Sandy Soil,Successful,High,Fully Irrigated,Moderate,Medium,Cashew
10 to 100 acres,Temperate,Sandy Soil,Successful,High,Fully Irrigated,Low,High,Almond
10 to 100 acres,Temperate,Sandy Soil,Successful,High,Fully Irrigated,Low,Medium,Pistachio
10 to 100 acres,Arid,Loamy Soil,New for Farming,Medium,Rain-fed,Moderate,High,Walnut
10 to 100 acres,Arid,Loamy Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Coconut
10 to 100 acres,Arid,Loamy Soil,New for Farming,Medium,Rain-fed,Low,High,Sesame
10 to 100 acres,Arid,Loamy Soil,New for Farming,Medium,Rain-fed,Low,Medium,Flaxseed
10 to 100 acres,Arid,Loamy Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Jute
10 to 100 acres,Arid,Loamy Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Rubber
10 to 100 acres,Arid,Loamy Soil,New for Farming,Medium,Partial Irrigation,Low,High,Vanilla
10 to 100 acres,Arid,Loamy Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Cardamom
10 to 100 acres,Arid,Loamy Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Clove
10 to 100 acres,Arid,Loamy Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Nutmeg
10 to 100 acres,Arid,Loamy Soil,New for Farming,Medium,Fully Irrigated,Low,High,Pepper
10 to 100 acres,Arid,Loamy Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Fenugreek
10 to 100 acres,Arid,Loamy Soil,New for Farming,High,Rain-fed,Moderate,High,Fennel
10 to 100 acres,Arid,Loamy Soil,New for Farming,High,Rain-fed,Moderate,Medium,Celery
10 to 100 acres,Arid,Loamy Soil,New for Farming,High,Rain-fed,Low,High,Asparagus
10 to 100 acres,Arid,Loamy Soil,New for Farming,High,Rain-fed,Low,Medium,Okra
10 to 100 acres,Arid,Loamy Soil,New for Farming,High,Partial Irrigation,Moderate,High,Bitter Gourd
10 to 100 acres,Arid,Loamy Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Sweet Potato
10 to 100 acres,Arid,Loamy Soil,New for Farming,High,Partial Irrigation,Low,High,Yam
10 to 100 acres,Arid,Loamy Soil,New for Farming,High,Partial Irrigation,Low,Medium,Taro
10 to 100 acres,Arid,Loamy Soil,New for Farming,High,Fully Irrigated,Moderate,High,Pear
10 to 100 acres,Arid,Loamy Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Guava
10 to 100 acres,Arid,Loamy Soil,New for Farming,High,Fully Irrigated,Low,High,Lychee
10 to 100 acres,Arid,Loamy Soil,New for Farming,High,Fully Irrigated,Low,Medium,Pomegranate
10 to 100 acres,Arid,Loamy Soil,Successful,Medium,Rain-fed,Moderate,High,Fig
10 to 100 acres,Arid,Loamy Soil,Successful,Medium,Rain-fed,Moderate,Medium,Apricot
10 to 100 acres,Arid,Loamy Soil,Successful,Medium,Rain-fed,Low,High,Peach
10 to 100 acres,Arid,Loamy Soil,Successful,Medium,Rain-fed,Low,Medium,Cherry
10 to 100 acres,Arid,Loamy Soil,Successful,Medium,Partial Irrigation,Moderate,High,Plum
10 to 100 acres,Arid,Loamy Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Kiwi
10 to 100 acres,Arid,Loamy Soil,Successful,Medium,Partial Irrigation,Low,High,Dragon Fruit
10 to 100 acres,Arid,Loamy Soil,Successful,Medium,Partial Irrigation,Low,Medium,Jackfruit
10 to 100 acres,Arid,Loamy Soil,Successful,Medium,Fully Irrigated,Moderate,High,Persimmon
10 to 100 acres,Arid,Loamy Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Date Palm
10 to 100 acres,Arid,Loamy Soil,Successful,Medium,Fully Irrigated,Low,High,Mulberry
10 to 100 acres,Arid,Loamy Soil,Successful,Medium,Fully Irrigated,Low,Medium,Gooseberry
10 to 100 acres,Arid,Loamy Soil,Successful,High,Rain-fed,Moderate,High,Elderberry
10 to 100 acres,Arid,Loamy Soil,Successful,High,Rain-fed,Moderate,Medium,Blackberry
10 to 100 acres,Arid,Loamy Soil,Successful,High,Rain-fed,Low,High,Hazelnut
10 to 100 acres,Arid,Loamy Soil,Successful,High,Rain-fed,Low,Medium,Macadamia
10 to 100 acres,Arid,Loamy Soil,Successful,High,Partial Irrigation,Moderate,High,Saffron
10 to 100 acres,Arid,Loamy Soil,Successful,High,Partial Irrigation,Moderate,Medium,Cumin
10 to 100 acres,Arid,Loamy Soil,Successful,High,Partial Irrigation,Low,High,Anise
10 to 100 acres,Arid,Loamy Soil,Successful,High,Partial Irrigation,Low,Medium,Caraway
10 to 100 acres,Arid,Loamy Soil,Successful,High,Fully Irrigated,Moderate,High,Dill
10 to 100 acres,Arid,Loamy Soil,Successful,High,Fully Irrigated,Moderate,Medium,Hemp
10 to 100 acres,Arid,Loamy Soil,Successful,High,Fully Irrigated,Low,High,Aloe Vera
10 to 100 acres,Arid,Loamy Soil,Successful,High,Fully Irrigated,Low,Medium,Eucalyptus
10 to 100 acres,Arid,Clayey Soil,New for Farming,Medium,Rain-fed,Moderate,High,Ginseng
10 to 100 acres,Arid,Clayey Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Yerba Mate
10 to 100 acres,Arid,Clayey Soil,New for Farming,Medium,Rain-fed,Low,High,Paddy
10 to 100 acres,Arid,Clayey Soil,New for Farming,Medium,Rain-fed,Low,Medium,Wheat
10 to 100 acres,Arid,Clayey Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Potato
10 to 100 acres,Arid,Clayey Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Tomato
10 to 100 acres,Arid,Clayey Soil,New for Farming,Medium,Partial Irrigation,Low,High,Corn
10 to 100 acres,Arid,Clayey Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Barley
10 to 100 acres,Arid,Clayey Soil,New for Farming,Medium,Fully Irrigated,Moderate,High,Carrot
10 to 100 acres,Arid,Clayey Soil,New for Farming,Medium,Fully Irrigated,Moderate,Medium,Onion
10 to 100 acres,Arid,Clayey Soil,New for Farming,Medium,Fully Irrigated,Low,High,Sugarcane
10 to 100 acres,Arid,Clayey Soil,New for Farming,Medium,Fully Irrigated,Low,Medium,Soybean
10 to 100 acres,Arid,Clayey Soil,New for Farming,High,Rain-fed,Moderate,High,Cabbage
10 to 100 acres,Arid,Clayey Soil,New for Farming,High,Rain-fed,Moderate,Medium,Cauliflower
10 to 100 acres,Arid,Clayey Soil,New for Farming,High,Rain-fed,Low,High,Spinach
10 to 100 acres,Arid,Clayey Soil,New for Farming,High,Rain-fed,Low,Medium,Lettuce
10 to 100 acres,Arid,Clayey Soil,New for Farming,High,Partial Irrigation,Moderate,High,Peas
10 to 100 acres,Arid,Clayey Soil,New for Farming,High,Partial Irrigation,Moderate,Medium,Chickpeas
10 to 100 acres,Arid,Clayey Soil,New for Farming,High,Partial Irrigation,Low,High,Lentils
10 to 100 acres,Arid,Clayey Soil,New for Farming,High,Partial Irrigation,Low,Medium,Mustard
10 to 100 acres,Arid,Clayey Soil,New for Farming,High,Fully Irrigated,Moderate,High,Sunflower
10 to 100 acres,Arid,Clayey Soil,New for Farming,High,Fully Irrigated,Moderate,Medium,Groundnut
10 to 100 acres,Arid,Clayey Soil,New for Farming,High,Fully Irrigated,Low,High,Cotton
10 to 100 acres,Arid,Clayey Soil,New for Farming,High,Fully Irrigated,Low,Medium,Millet
10 to 100 acres,Arid,Clayey Soil,Successful,Medium,Rain-fed,Moderate,High,Sorghum
10 to 100 acres,Arid,Clayey Soil,Successful,Medium,Rain-fed,Moderate,Medium,Rice
10 to 100 acres,Arid,Clayey Soil,Successful,Medium,Rain-fed,Low,High,Oats
10 to 100 acres,Arid,Clayey Soil,Successful,Medium,Rain-fed,Low,Medium,Rye
10 to 100 acres,Arid,Clayey Soil,Successful,Medium,Partial Irrigation,Moderate,High,Banana
10 to 100 acres,Arid,Clayey Soil,Successful,Medium,Partial Irrigation,Moderate,Medium,Mango
10 to 100 acres,Arid,Clayey Soil,Successful,Medium,Partial Irrigation,Low,High,Apple
10 to 100 acres,Arid,Clayey Soil,Successful,Medium,Partial Irrigation,Low,Medium,Grapes
10 to 100 acres,Arid,Clayey Soil,Successful,Medium,Fully Irrigated,Moderate,High,Orange
10 to 100 acres,Arid,Clayey Soil,Successful,Medium,Fully Irrigated,Moderate,Medium,Papaya
10 to 100 acres,Arid,Clayey Soil,Successful,Medium,Fully Irrigated,Low,High,Pineapple
10 to 100 acres,Arid,Clayey Soil,Successful,Medium,Fully Irrigated,Low,Medium,Strawberry
10 to 100 acres,Arid,Clayey Soil,Successful,High,Rain-fed,Moderate,High,Blueberry
10 to 100 acres,Arid,Clayey Soil,Successful,High,Rain-fed,Moderate,Medium,Raspberry
10 to 100 acres,Arid,Clayey Soil,Successful,High,Rain-fed,Low,High,Watermelon
10 to 100 acres,Arid,Clayey Soil,Successful,High,Rain-fed,Low,Medium,Cucumber
10 to 100 acres,Arid,Clayey Soil,Successful,High,Partial Irrigation,Moderate,High,Pumpkin
10 to 100 acres,Arid,Clayey Soil,Successful,High,Partial Irrigation,Moderate,Medium,Zucchini
10 to 100 acres,Arid,Clayey Soil,Successful,High,Partial Irrigation,Low,High,Bell Pepper
10 to 100 acres,Arid,Clayey Soil,Successful,High,Partial Irrigation,Low,Medium,Chili Pepper
10 to 100 acres,Arid,Clayey Soil,Successful,High,Fully Irrigated,Moderate,High,Brinjal (Eggplant)
10 to 100 acres,Arid,Clayey Soil,Successful,High,Fully Irrigated,Moderate,Medium,Radish
10 to 100 acres,Arid,Clayey Soil,Successful,High,Fully Irrigated,Low,High,Beetroot
10 to 100 acres,Arid,Clayey Soil,Successful,High,Fully Irrigated,Low,Medium,Garlic
10 to 100 acres,Arid,Sandy Soil,New for Farming,Medium,Rain-fed,Moderate,High,Ginger
10 to 100 acres,Arid,Sandy Soil,New for Farming,Medium,Rain-fed,Moderate,Medium,Turmeric
10 to 100 acres,Arid,Sandy Soil,New for Farming,Medium,Rain-fed,Low,High,Basil
10 to 100 acres,Arid,Sandy Soil,New for Farming,Medium,Rain-fed,Low,Medium,Coriander
10 to 100 acres,Arid,Sandy Soil,New for Farming,Medium,Partial Irrigation,Moderate,High,Parsley
10 to 100 acres,Arid,Sandy Soil,New for Farming,Medium,Partial Irrigation,Moderate,Medium,Thyme
10 to 100 acres,Arid,Sandy Soil,New for Farming,Medium,Partial Irrigation,Low,High,Rosemary
10 to 100 acres,Arid,Sandy Soil,New for Farming,Medium,Partial Irrigation,Low,Medium,Lavender
