Space Availability,Location,Plant Type,Growth Type,Budget,Aesthetic Feature,Watering,Maintenance,Sunlight,Recommended Plant
Commercial,Outdoor,Large,Tropical,Low budget,Edible,High Watering,High maintenance,Artificial Sunlight,Wild Cherries
Commercial,Outdoor,Large,Tropical,Low budget,Edible,High Watering,High maintenance,Natural Sunlight,Pineapple Sage
Commercial,Outdoor,Large,Tropical,Large budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Ground Cherry
Commercial,Outdoor,Large,Tropical,Large budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Wisteria (flowers are edible)
Commercial,Outdoor,Large,Tropical,Large budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Red Clover
Commercial,Outdoor,Large,Tropical,Large budget,Edible,Low Watering,High maintenance,Natural Sunlight,Violet (flowers are edible)
Commercial,Outdoor,Large,Tropical,Large budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Mullein (flowers and leaves)
Commercial,Outdoor,Large,Tropical,Large budget,Edible,High Watering,Low maintenance,Natural Sunlight,Burdock Root
Commercial,Outdoor,Large,Tropical,Large budget,Edible,High Watering,High maintenance,Artificial Sunlight,Lamb's Quarters
Commercial,Outdoor,Large,Tropical,Large budget,Edible,High Watering,High maintenance,Natural Sunlight,Wild Strawberry
Commercial,Outdoor,Large,Temperate,Low budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Saffron
Commercial,Outdoor,Large,Temperate,Low budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Spilanthes (toothache plant)
Commercial,Outdoor,Large,Temperate,Low budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Moringa
Commercial,Outdoor,Large,Temperate,Low budget,Edible,Low Watering,High maintenance,Natural Sunlight,Sunchoke (Jerusalem Artichoke)
Commercial,Outdoor,Large,Temperate,Low budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Dulse (edible seaweed)
Commercial,Outdoor,Large,Temperate,Low budget,Edible,High Watering,Low maintenance,Natural Sunlight,Nori (edible seaweed)
Commercial,Outdoor,Large,Temperate,Low budget,Edible,High Watering,High maintenance,Artificial Sunlight,Kelp (edible seaweed)
Commercial,Outdoor,Large,Temperate,Low budget,Edible,High Watering,High maintenance,Natural Sunlight,Wakame (edible seaweed)
Commercial,Outdoor,Large,Temperate,Large budget,Edible,Low Watering,Low maintenance,Artificial Sunlight,Chanterelle Mushrooms
Commercial,Outdoor,Large,Temperate,Large budget,Edible,Low Watering,Low maintenance,Natural Sunlight,Morel Mushrooms
Commercial,Outdoor,Large,Temperate,Large budget,Edible,Low Watering,High maintenance,Artificial Sunlight,Shiitake Mushrooms
Commercial,Outdoor,Large,Temperate,Large budget,Edible,Low Watering,High maintenance,Natural Sunlight,Oyster Mushrooms
Commercial,Outdoor,Large,Temperate,Large budget,Edible,High Watering,Low maintenance,Artificial Sunlight,Button Mushrooms
Commercial,Outdoor,Large,Temperate,Large budget,Edible,High Watering,Low maintenance,Natural Sunlight,Enoki Mushrooms
Commercial,Outdoor,Large,Temperate,Large budget,Edible,High Watering,High maintenance,Artificial Sunlight,Cremini Mushrooms
Commercial,Outdoor,Large,Temperate,Large budget,Edible,High Watering,High maintenance,Natural Sunlight,Maitake Mushrooms
