Maintenance,Water Requirement,Growth Habit,Size and Height,Uses,Recommended Plant
High,Medium,Grass,Tall,Ornamental,Bitter Melon (Momordica charantia)
High,Medium,Grass,Tall,Medicinal,Passion Fruit Vine (Passiflora edulis)
High,Medium,Grass,Tall,Commercial,Jade Plant (Crassula ovata)
High,High,Tree,Small,Ornamental,Mango Tree (Mangifera indica)
High,High,Tree,Small,Medicinal,Cocoa Tree (Theobroma cacao)
High,High,Tree,Small,Commercial,Tropical Ginger (Zingiber zerumbet)
High,High,Tree,Medium,Ornamental,Red Banana (Ensete ventricosum)
High,High,Tree,Medium,Medicinal,Rex Begonia (Begonia rex)
High,High,Tree,Medium,Commercial,Chili Pepper (Capsicum annuum)
High,High,Tree,Dwarf,Ornamental,Maranta (Maranta spp.)
High,High,Tree,Dwarf,Medicinal,Angel’s Trumpet (Brugmansia spp.)
High,High,Tree,Dwarf,Commercial,Bird of Paradise (Strelitzia reginae)
High,High,Tree,Large,Ornamental,Dragon Tree (Dracaena draco)
High,High,Tree,Large,Medicinal,Bamboo Palm (Chamaedorea seifrizii)
High,High,Tree,Large,Commercial,Kangaroo Paw (Anigozanthos spp.)
High,High,Tree,Tall,Ornamental,Bougainvillea (Bougainvillea spp.)
High,High,Tree,Tall,Medicinal,Plumeria (Plumeria spp.)
High,High,Tree,Tall,Commercial,Aloe Vera (Aloe barbadensis miller)
High,High,Shrub,Small,Ornamental,Oleander (Nerium oleander)
High,High,Shrub,Small,Medicinal,Canna Lily (Canna indica)
High,High,Shrub,Small,Commercial,Hibiscus (Hibiscus rosa-sinensis)
High,High,Shrub,Medium,Ornamental,Yucca (Yucca filamentosa)
High,High,Shrub,Medium,Medicinal,Desert Rose (Adenium obesum)
High,High,Shrub,Medium,Commercial,Heliconia (Heliconia spp.)
High,High,Shrub,Dwarf,Ornamental,Cypress (Cupressus spp.)
High,High,Shrub,Dwarf,Medicinal,Citrus Tree (Citrus spp.)
High,High,Shrub,Dwarf,Commercial,Bitter Melon (Momordica charantia)
High,High,Shrub,Large,Ornamental,Passion Fruit Vine (Passiflora edulis)
High,High,Shrub,Large,Medicinal,Jade Plant (Crassula ovata)
High,High,Shrub,Large,Commercial,Mango Tree (Mangifera indica)
High,High,Shrub,Tall,Ornamental,Cocoa Tree (Theobroma cacao)
High,High,Shrub,Tall,Medicinal,Tropical Ginger (Zingiber zerumbet)
High,High,Shrub,Tall,Commercial,Red Banana (Ensete ventricosum)
High,High,Vine,Small,Ornamental,Rex Begonia (Begonia rex)
High,High,Vine,Small,Medicinal,Chili Pepper (Capsicum annuum)
High,High,Vine,Small,Commercial,Maranta (Maranta spp.)
High,High,Vine,Medium,Ornamental,Angel’s Trumpet (Brugmansia spp.)
High,High,Vine,Medium,Medicinal,Bird of Paradise (Strelitzia reginae)
High,High,Vine,Medium,Commercial,Dragon Tree (Dracaena draco)
High,High,Vine,Dwarf,Ornamental,Bamboo Palm (Chamaedorea seifrizii)
High,High,Vine,Dwarf,Medicinal,Kangaroo Paw (Anigozanthos spp.)
High,High,Vine,Dwarf,Commercial,Bougainvillea (Bougainvillea spp.)
High,High,Vine,Large,Ornamental,Plumeria (Plumeria spp.)
High,High,Vine,Large,Medicinal,Aloe Vera (Aloe barbadensis miller)
High,High,Vine,Large,Commercial,Oleander (Nerium oleander)
High,High,Vine,Tall,Ornamental,Canna Lily (Canna indica)
High,High,Vine,Tall,Medicinal,Hibiscus (Hibiscus rosa-sinensis)
High,High,Vine,Tall,Commercial,Yucca (Yucca filamentosa)
High,High,Ground cover,Small,Ornamental,Desert Rose (Adenium obesum)
High,High,Ground cover,Small,Medicinal,Heliconia (Heliconia spp.)
High,High,Ground cover,Small,Commercial,Cypress (Cupressus spp.)
High,High,Ground cover,Medium,Ornamental,Citrus Tree (Citrus spp.)
High,High,Ground cover,Medium,Medicinal,Bitter Melon (Momordica charantia)
High,High,Ground cover,Medium,Commercial,Passion Fruit Vine (Passiflora edulis)
High,High,Ground cover,Dwarf,Ornamental,Jade Plant (Crassula ovata)
High,High,Ground cover,Dwarf,Medicinal,Mango Tree (Mangifera indica)
High,High,Ground cover,Dwarf,Commercial,Cocoa Tree (Theobroma cacao)
High,High,Ground cover,Large,Ornamental,Tropical Ginger (Zingiber zerumbet)
High,High,Ground cover,Large,Medicinal,Red Banana (Ensete ventricosum)
High,High,Ground cover,Large,Commercial,Rex Begonia (Begonia rex)
High,High,Ground cover,Tall,Ornamental,Chili Pepper (Capsicum annuum)
High,High,Ground cover,Tall,Medicinal,Maranta (Maranta spp.)
High,High,Ground cover,Tall,Commercial,Angel’s Trumpet (Brugmansia spp.)
High,High,Herbaceous,Small,Ornamental,Bird of Paradise (Strelitzia reginae)
High,High,Herbaceous,Small,Medicinal,Dragon Tree (Dracaena draco)
High,High,Herbaceous,Small,Commercial,Bamboo Palm (Chamaedorea seifrizii)
High,High,Herbaceous,Medium,Ornamental,Kangaroo Paw (Anigozanthos spp.)
High,High,Herbaceous,Medium,Medicinal,Bougainvillea (Bougainvillea spp.)
High,High,Herbaceous,Medium,Commercial,Plumeria (Plumeria spp.)
High,High,Herbaceous,Dwarf,Ornamental,Aloe Vera (Aloe barbadensis miller)
High,High,Herbaceous,Dwarf,Medicinal,Oleander (Nerium oleander)
High,High,Herbaceous,Dwarf,Commercial,Canna Lily (Canna indica)
High,High,Herbaceous,Large,Ornamental,Hibiscus (Hibiscus rosa-sinensis)
High,High,Herbaceous,Large,Medicinal,Yucca (Yucca filamentosa)
High,High,Herbaceous,Large,Commercial,Desert Rose (Adenium obesum)
High,High,Herbaceous,Tall,Ornamental,Heliconia (Heliconia spp.)
High,High,Herbaceous,Tall,Medicinal,Cypress (Cupressus spp.)
High,High,Herbaceous,Tall,Commercial,Citrus Tree (Citrus spp.)
High,High,Grass,Small,Ornamental,Bitter Melon (Momordica charantia)
High,High,Grass,Small,Medicinal,Passion Fruit Vine (Passiflora edulis)
High,High,Grass,Small,Commercial,Jade Plant (Crassula ovata)
High,High,Grass,Medium,Ornamental,Mango Tree (Mangifera indica)
High,High,Grass,Medium,Medicinal,Cocoa Tree (Theobroma cacao)
High,High,Grass,Medium,Commercial,Tropical Ginger (Zingiber zerumbet)
High,High,Grass,Dwarf,Ornamental,Red Banana (Ensete ventricosum)
High,High,Grass,Dwarf,Medicinal,Rex Begonia (Begonia rex)
High,High,Grass,Dwarf,Commercial,Chili Pepper (Capsicum annuum)
High,High,Grass,Large,Ornamental,Maranta (Maranta spp.)
High,High,Grass,Large,Medicinal,Angel’s Trumpet (Brugmansia spp.)
High,High,Grass,Large,Commercial,Bird of Paradise (Strelitzia reginae)
High,High,Grass,Tall,Ornamental,Dragon Tree (Dracaena draco)
High,High,Grass,Tall,Medicinal,Bamboo Palm (Chamaedorea seifrizii)
High,High,Grass,Tall,Commercial,Kangaroo Paw (Anigozanthos spp.)
